event_id,japones,es_final,estado
21010000,■キャラバン火来配置,MapSetting : %8d,revisar
21010000,■キャラバン古株配置,NPCSet : %8d,revisar
21010000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!,revisar
21010000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s,revisar
21010000,$■初回ミニマップ読み込みなし,Encount Effect,revisar
21010000,■初回BGM読み込みなし,¿Adónde quieres ir?,revisar
21010000,■イベント開始■,¿Ir al mapa principal?,revisar
21010000,■イベント終了■,sErr MapJumpFunc.XLS XL=226,revisar
21010000,3もくてき,Esta puerta parece estar cerrada.,revisar
21010000,b■ケータイ着信,NpcTalkFile : %8d,revisar
21010000,�■ケータイアイコン表示,ShopFile : %8d,revisar
21010000,�■ケータイ発信,RecoverFile : %8d,revisar
21010000,どこへ%1F行きますか？,TokkunSiteFile : %8d,revisar
21010000,N(%2F全体マップに　%2F移動しますか？,SysFuncPointFile : %8d,revisar
21010000,"�,このトビラのカギをもってないようだ。",FuncTextFile : %8d,revisar
21010000,ﾛ■スカウト＞ケータイ,Random Encount,revisar
21010000,■キャラバン瞳子配置,MapSetting : %8d,auto-dup
21010000,★次の章へ⇒⇒⇒%d★,,pendiente
21010000,■イベントカウント＝%d■,,pendiente
21010000,■ストーリーフラグ＝%d■,,pendiente
21010000,ｰ■試合番号＝%d■,,pendiente
21010000,ｱ■ゲームモード＝%d■,,pendiente
21010000,Nぜんたい,,pendiente
21010000,Nいどう,,pendiente
21020000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!,revisar
21020000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s,revisar
21020000,■イベント開始■,Encount Effect,revisar
21020000,■イベント終了■,MapSetting : %8d,revisar
21020000,Kもくてき,NPCSet : %8d,revisar
21020000,z■ケータイ着信,¿Adónde quieres ir?,revisar
21020000,ｪ■ケータイアイコン表示,¿Ir al mapa principal?,revisar
21020000,C<--------------------チーム　の情報--------------------,sErr MapJumpFunc.XLS XL=226,revisar
21020000,R<--------------------その他　の情報--------------------,Esta puerta parece estar cerrada.,revisar
21020000,■dbg_地図開示,NpcTalkFile : %8d,revisar
21020000,�■キャラバン瞳子配置,ShopFile : %8d,revisar
21020000,､■キャラバン火来配置,RecoverFile : %8d,revisar
21020000,ｮ■キャラバン古株配置,TokkunSiteFile : %8d,revisar
21020000,ﾄどこへ%1F行きますか？,SysFuncPointFile : %8d,revisar
21020000,�(%2F全体マップに　%2F移動しますか？,FuncTextFile : %8d,revisar
21020000,ｮ■スカウト＞ケータイ,Random Encount,revisar
21020000,$■初回ミニマップ読み込みなし,Encount Effect,auto-dup
21020000,■初回BGM読み込みなし,¿Adónde quieres ir?,auto-dup
21020000,%★次の章へ⇒⇒⇒%d★,,pendiente
21020000,+ ■イベントカウント＝%d■,,pendiente
21020000,0 ■ストーリーフラグ＝%d■,,pendiente
21020000,ｳ■ケータイ発信,Encount Effect,auto-dup
21020000,ﾈ■試合番号＝%d■,,pendiente
21020000,ﾉ■ゲームモード＝%d■,,pendiente
21020000,=<--------------------パーティの情報--------------------,,pendiente
21020000,O<--------------------スカウトの情報--------------------,,pendiente
21020000,a$■dbg_%d章スタートデータ作成,,pendiente
21020000,�ぜんたい,,pendiente
21020000,"�,このトビラのカギをもってないようだ。",FuncTextFile : %8d,auto-dup
21030000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!,revisar
21030000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s,revisar
21030000,■イベント開始■,Encount Effect,revisar
21030000,■イベント終了■,MapSetting : %8d,revisar
21030000,■ケータイ着信,NPCSet : %8d,revisar
21030000,P■ケータイアイコン表示,¿Adónde quieres ir?,revisar
21030000,Y■ケータイ発信,¿Ir al mapa principal?,revisar
21030000,C<--------------------チーム　の情報--------------------,sErr MapJumpFunc.XLS XL=226,revisar
21030000,R<--------------------その他　の情報--------------------,Esta puerta parece estar cerrada.,revisar
21030000,■dbg_地図開示,NpcTalkFile : %8d,revisar
21030000,�■キャラバン瞳子配置,ShopFile : %8d,revisar
21030000,､■キャラバン火来配置,RecoverFile : %8d,revisar
21030000,ｮ■キャラバン古株配置,TokkunSiteFile : %8d,revisar
21030000,ﾄどこへ%1F行きますか？,SysFuncPointFile : %8d,revisar
21030000,�(%2F全体マップに　%2F移動しますか？,FuncTextFile : %8d,revisar
21030000,ｪ■スカウト＞ケータイ,Random Encount,revisar
21030000,$■初回ミニマップ読み込みなし,Encount Effect,auto-dup
21030000,■初回BGM読み込みなし,¿Adónde quieres ir?,auto-dup
21030000,★次の章へ⇒⇒⇒%d★,,pendiente
21030000,■イベントカウント＝%d■,,pendiente
21030000,■ストーリーフラグ＝%d■,,pendiente
21030000,n■試合番号＝%d■,,pendiente
21030000,o■ゲームモード＝%d■,,pendiente
21030000,=<--------------------パーティの情報--------------------,,pendiente
21030000,O<--------------------スカウトの情報--------------------,,pendiente
21030000,a$■dbg_%d章スタートデータ作成,,pendiente
21030000,�ぜんたい,,pendiente
21030000,"�,このトビラのカギをもってないようだ。",FuncTextFile : %8d,auto-dup
21040000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!,revisar
21040000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s,revisar
21040000,■イベント開始■,Encount Effect,revisar
21040000,■イベント終了■,MapSetting : %8d,revisar
21040000,■ケータイ着信,NPCSet : %8d,revisar
21040000,P■ケータイアイコン表示,¿Adónde quieres ir?,revisar
21040000,Y■ケータイ発信,¿Ir al mapa principal?,revisar
21040000,C<--------------------チーム　の情報--------------------,sErr MapJumpFunc.XLS XL=226,revisar
21040000,R<--------------------その他　の情報--------------------,Esta puerta parece estar cerrada.,revisar
21040000,■dbg_地図開示,NpcTalkFile : %8d,revisar
21040000,�■キャラバン瞳子配置,ShopFile : %8d,revisar
21040000,､■キャラバン火来配置,RecoverFile : %8d,revisar
21040000,ｮ■キャラバン古株配置,TokkunSiteFile : %8d,revisar
21040000,ﾄどこへ%1F行きますか？,SysFuncPointFile : %8d,revisar
21040000,�(%2F全体マップに　%2F移動しますか？,FuncTextFile : %8d,revisar
21040000,w■スカウト＞ケータイ,Random Encount,revisar
21040000,$■初回ミニマップ読み込みなし,Encount Effect,auto-dup
21040000,■初回BGM読み込みなし,¿Adónde quieres ir?,auto-dup
21040000,★次の章へ⇒⇒⇒%d★,,pendiente
21040000,■イベントカウント＝%d■,,pendiente
21040000,■ストーリーフラグ＝%d■,,pendiente
21040000,n■試合番号＝%d■,,pendiente
21040000,o■ゲームモード＝%d■,,pendiente
