event_id,japones,es_oficial
21010000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21010000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21010000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21010000,■初回BGM読み込みなし,¿Ir al mapa principal?
21020000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21020000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21020000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21020000,■初回BGM読み込みなし,¿Ir al mapa principal?
21030000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21030000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21030000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21030000,■初回BGM読み込みなし,¿Ir al mapa principal?
21040000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21040000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21040000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21040000,■初回BGM読み込みなし,¿Ir al mapa principal?
21050000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21050000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21050000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21050000,■初回BGM読み込みなし,¿Ir al mapa principal?
21060000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21060000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21060000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21060000,■初回BGM読み込みなし,¿Ir al mapa principal?
21070000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21070000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21070000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21070000,■初回BGM読み込みなし,¿Ir al mapa principal?
21080000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21080000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21080000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21080000,■初回BGM読み込みなし,¿Ir al mapa principal?
21090000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21090000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21090000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21090000,■初回BGM読み込みなし,¿Ir al mapa principal?
21100000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21100000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21100000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21100000,■初回BGM読み込みなし,¿Ir al mapa principal?
21110000,$■初回ミニマップ読み込みなし,¿Adónde quieres ir?
21110000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21110000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21110000,■初回BGM読み込みなし,¿Ir al mapa principal?
21500000,$■初回ミニマップ読み込みなし,Entrenar al estilo Alius ha supuesto una\ngran diferencia. ¡Menudo rendimiento!\n¡Estoy flipando! 
21500000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
21500000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
21500000,■初回BGM読み込みなし,"Presiento que, si entrenamos aquí, seremos\ncapaces incluso de superar al Épsilon."
22010100,$■初回ミニマップ読み込みなし,"¡Mark, despierta, dormilón!"
22010100,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010100,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010100,■初回BGM読み込みなし,"Empiezan los entrenamientos. No querrás\nllegar tarde el primer día, ¿no?"
22010200,$■初回ミニマップ読み込みなし,"¡Buenos días, Mark!"
22010200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010200,■初回BGM読み込みなし,"Parece que tienes prisa. Si quieres llegar\nrápido a algún sitio, desliza el lápiz\npor la pantalla inferior."
22010300,$■初回ミニマップ読み込みなし,¡Eh! ¡No des tantas vueltas! ¡Vuelve aquí!
22010300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010300,■初回BGM読み込みなし,"Muy bien, chaval."
22010500,$■初回ミニマップ読み込みなし,"¡Ah! ¡Hola, Mark! Tan temprano como siempre\npara el entrenamiento, ¿eh?"
22010500,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010500,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010500,■初回BGM読み込みなし,¡Sería una pena que no guardaras\ntu progreso y que todo tu entrenamiento\nse perdiese!
22010700,$■初回ミニマップ読み込みなし,¡Mark! ¡Tenemos un problema!
22010700,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010700,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010700,■初回BGM読み込みなし,¡Celia! ¿Qué pasa?
22010780,$■初回ミニマップ読み込みなし,¡Aaah! ¡Nuestro club!
22010780,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010780,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010780,■初回BGM読み込みなし,¡Está en ruinas!
22010790,$■初回ミニマップ読み込みなし,"¡Eh! ¿Veis el agujero grande que hay ahí,\njusto detrás de esos escombros?"
22010790,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010790,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010790,■初回BGM読み込みなし,"¿Cómo? ¿Un agujero, has dicho?\nCómo se nota que mi vista \nya no es lo que era."
22010800,$■初回ミニマップ読み込みなし,Por fin habéis llegado.
22010800,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010800,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010800,■初回BGM読み込みなし,¡Detective Smith! ¿Qué está haciendo aquí?
22010900,$■初回ミニマップ読み込みなし,¡Ah! Habéis venido todos.
22010900,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010900,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010900,Dよし！\nそれじゃ　%2F正門から%1F出て\n%3F傘美野に%2F出発だ！,Creé este centro de mando para que sirviera\nde base de operaciones mientras\ninvestigábamos a Ray Dark.
22010900,■初回BGM読み込みなし,¡Papá! ¡Estás bien!
22010900,かさみの,¡Mirad esto! ¡Qué mogollón de chismes!
22010900,しゅっぱつ,¡No toques nada! ¿Y si hay algún botón de\nautodestrucción por ahí y le das sin querer?
22010900,せいもん,Nunca pensé que acabaría teniendo que\nusarlo en una situación como esta...
22010950,$■初回ミニマップ読み込みなし,¡¿Y vosotros quiénes sois?!
22010950,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22010950,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22010950,■初回BGM読み込みなし,"Je, je, je... Hasta aquí habéis llegado.\nTenemos órdenes de nuestro amo Janus\nde no dejaros pasar."
22011000,$■初回ミニマップ読み込みなし,¿Eh? ¡La puerta está bloqueada!
22011000,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011000,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011000,■初回BGM読み込みなし,Y en el campo de fútbol tampoco hay nadie...
22011200,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011200,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011200,Hおまえたち　%3F地球人の%2F運命を\n%1F決めるためにやって%1F来た。,¿De verdad... venís del espacio exterior?
22011200,■初回BGM読み込みなし,"Salid, salid de dondequiera que estéis."
22011200,うんめい,"¿Qué hacemos, capitán? Estos tíos han\ndestruido ya el Instituto Raimon..."
22011200,ちきゅうじん,¿Por qué os escondéis? ¿Vais a enfrentaros\na nosotros o no?
22011300,$■初回ミニマップ読み込みなし,¡Entrenador Hillman! ¡Presidente! Nosotros...
22011300,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011300,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011300,Hこんな%2F状態では　キャラバンを\n%2F出発させる%2F意味がないわ。,"¿Qué vamos a hacer, papá?"
22011300,■初回BGM読み込みなし,"Ya, Mark. Era totalmente imposible que\npudierais vencer a la Academia Alius.\nNo estabais preparados."
22011300,いみ,"Hay que buscar y fichar a los mejores\njugadores, formar un equipo invencible,\nganar a la Alius y salvarnos a todos."
22011300,しゅっぱつ,"No esperaba menos de ti. De hecho, aún\npodemos hacer algo. Es nuestra única\noportunidad..."
22011300,じょうたい,"No pienso volver a casa así, con el rabo\nentre las piernas."
22011360,$■初回ミニマップ読み込みなし,Mark... ¿Es verdad eso? ¿El Raimon ha \nperdido contra la Academia Alius?
22011360,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011360,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011360,■初回BGM読み込みなし,"Sí... Sí, así es."
22011380,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
22011380,",%sの\n%3F秘伝書を%1F手に%1F入れた！",¡Has obtenido el cuaderno\n%s!
22011380,■初回BGM読み込みなし,"Mark, ya tenemos once jugadores. ¿Volvemos\nprimero al Instituto Raimon?"
22011390,%s\nを%1F手に%1F入れた！,Has obtenido:\n%s
